x,y,long,short,radian,bool
349.0,717.0,2.1821,4.082,0.0,0.0
846.968,716.751,2.208,24.09,87.34,0.0
384.0,715.5,2.1213,3.0,0.0,0.0
1298.0,714.5,2.1213,3.0,0.0,0.0
1077.660644,714.660,2.5162,3.5216,44.99,0.0
904.5,714.5,0.0,1.0,0.0,0.0
880.999,715.0,0.00,0.004525,103.30,0.0
1267.660644,713.660,2.5162,3.5216,44.99,0.0
1053.5,713.0,0.0,0.000,0.0,0.0
1296.570,713.037,3.4173,5.53,28.508,0.0
1079.0,712.5,2.1213,3.0,0.0,0.0
939.0,712.5,0.0,1.0,0.0,0.0
415.20,712.725097,1.9514,16.870,87.94,0.0
1085.0,711.0,2.2215,6.497,90.0,0.0
788.985,712.069,2.0630,9.029,85.92,0.0
731.235,711.5,0.0,1.0,0.0,0.0
426.5,712.714,0.0,1.0,0.0,0.0
348.5,711.0,2.1213,3.0,90.0,0.0
1014.223,713.240,4.35,11.81,55.65,0.0
959.281,710.852,2.469,29.391,87.809,0.0
847.5,709.5,0.0,1.0,0.0,0.0
384.0,710.5,2.2105,5.249,0.0,0.0
1052.614,708.417,7.033,39.958,92.154,0.0
787.5,707.0,0.0,0.000,0.0,0.0
730.41,707.926,1.5858,5.813,104.48,0.0
143.23,709.506,2.9329,4.514,171.390,0.0
1087.0,706.5,2.1213,3.0,0.0,0.0
127.52,709.325,3.613,5.679,154.880,0.0
637.0,706.5,0.0,0.000,180.0,0.0
16.183,703.420,5.537,10.334,52.25,0.0
1106.0,711.5,2.1572,24.601,0.0,0.0
1104.0,707.5,2.2139,10.685,0.0,0.0
961.167,705.03,2.198,19.412,89.99,0.0
687.618,704.804,1.3963,17.563,86.17,0.0
